# gate	state	subject	evidence
WORKSPACE_DIRECTORY_DELETE	accepted	feat(workspace): support explicit recursive directory deletion	server/packages/happy-cli/src/modules/common/registerCommonHandlers.deleteFile.test.ts
NATIVE_INSTALLER_PROOF	accepted	fix(installer): keep database byte handling in prepared releases	.github/workflows/native-installer-release.yml
NEW_SESSION_PANEL_UX	accepted	fix(new-session): preserve native sizing and prove route gestures	server/packages/happy-app/sources/components/sideChatHeader.browser.test.ts
NEW_SESSION_PANEL_UX	accepted	fix: improve new session panel size and folder navigation	server/packages/happy-app/sources/utils/newSessionSidebarLayout.test.ts
SIDE_CHAT_PERMISSION	accepted	fix(side-chat): propagate explicit permission and confirmed settings	server/packages/happy-cli/src/daemon/run.resume.test.ts
PROVIDER_QUOTA_EXHAUSTION	accepted	fix(providers): surface exhausted quota	server/packages/happy-cli/src/daemon/run.resume.test.ts
SIDE_CHAT_LAUNCH_SETTINGS	accepted	feat(side-chat): accept explicit model and effort	server/packages/happy-cli/src/daemon/run.resume.test.ts
SIDE_CHAT_RESOURCE_USAGE	accepted	feat(side-chat): report host resources on create	server/packages/happy-cli/src/daemon/hostResourceUsage.test.ts
USER_SAFEGUARD	accepted	feat(safeguard): add opt-in artifact approval gate	server/packages/happy-cli/src/userSafeguard/userSafeguard.test.ts
USER_SAFEGUARD	accepted	fix(safeguard): show full mobile description	server/packages/happy-app/sources/app/(app)/settings/features.test.ts
GROK_INLINE_IMAGES	accepted	fix(grok): support inline images and encrypted attachments	server/packages/happy-cli/src/agent/acp/runAcp.test.ts
SESSION_CONTINUITY	accepted	fix(sessions): preserve session continuity across restarts	server/packages/happy-cli/src/persistence.test.ts
SESSION_CONTINUITY	accepted	fix(sessions): preserve exact Codex home on resume	server/packages/happy-cli/src/resume/codexHome.test.ts
SESSION_CONTINUITY	accepted	fix(sessions): honor persisted Codex resume state	server/packages/happy-cli/src/daemon/run.resume.test.ts
SESSION_CONTINUITY	accepted	fix(sessions): recover historical resume state	server/packages/happy-cli/src/resume/resolveHappySession.test.ts
SESSION_CONTINUITY	accepted	fix(sessions): use legacy access key for recovery	server/packages/happy-cli/src/resume/resolveHappySession.test.ts
